1,Sub-Ex,PC,2011
2,Voyatouch,SMARTPHONES,1999
3,Viva,SMARTPHONES,2001
4,Tampflex,SMARTPHONES,2006
5,Y-Solowarm,SMARTPHONES,1997
6,Treeflex,SMARTPHONES,1996
7,Rank,SMARTPHONES,1999
8,Zamit,PC,2002
9,Konklux,PC,1998
10,Greenlam,TABLETS,2005
11,Quo Lux,PC,2008
12,Konklux,SMARTPHONES,2011
13,Andalax,PC,1993
14,Ventosanzap,SMARTPHONES,2001
15,Wrapsafe,TABLETS,1993
16,Bigtax,SMARTPHONES,1998
17,Ventosanzap,SMARTPHONES,2007
18,It,SMARTPHONES,2008
19,Wrapsafe,SMARTPHONES,2007
20,Cardguard,SMARTPHONES,1998
21,Stim,SMARTPHONES,2005
22,Sonsing,TABLETS,2004
23,Tres-Zap,SMARTPHONES,1996
24,Tempsoft,SMARTPHONES,1989
25,Wrapsafe,PC,2010
26,Tresom,PC,2004
27,Asoka,PC,2006
28,Keylex,SMARTPHONES,2001
29,Gembucket,PC,1999
30,Tresom,TABLETS,1999
31,Treeflex,SMARTPHONES,1953
32,Solarbreeze,SMARTPHONES,1991
33,Ventosanzap,SMARTPHONES,2008
34,Cardify,PC,1997
35,Cardguard,SMARTPHONES,1999
36,Tresom,SMARTPHONES,2001
37,Treeflex,PC,2003
38,Regrant,PC,1990
39,Namfix,SMARTPHONES,2006
40,Pannier,SMARTPHONES,2010
41,Namfix,LAPTOPS,1996
42,Zamit,SMARTPHONES,2001
43,Andalax,LAPTOPS,2008
44,Flexidy,SMARTPHONES,2001
45,Stringtough,TABLETS,2003
46,Fixflex,PC,1983
47,Namfix,PC,1970
48,Subin,LAPTOPS,2000
49,Stim,LAPTOPS,1999
50,Quo Lux,SMARTPHONES,2004
51,Ventosanzap,SMARTPHONES,1998
52,Alpha,SMARTPHONES,1998
53,Fix San,SMARTPHONES,2009
54,Namfix,LAPTOPS,2012
55,Konklab,LAPTOPS,2000
56,Holdlamis,PC,1989
57,Opela,SMARTPHONES,1997
58,Alphazap,SMARTPHONES,1996
59,Cardguard,SMARTPHONES,2003
60,Cookley,SMARTPHONES,2005
61,Trippledex,SMARTPHONES,2007
62,Span,SMARTPHONES,2007
63,Bitwolf,PC,2008
64,Asoka,PC,2007
65,Holdlamis,PC,1989
66,Solarbreeze,LAPTOPS,2012
67,Zathin,SMARTPHONES,2004
68,Bigtax,SMARTPHONES,2003
69,Vagram,PC,2004
70,Lotlux,TABLETS,1996
71,Temp,PC,1998
72,Bamity,SMARTPHONES,1995
73,Biodex,SMARTPHONES,1999
74,Bamity,LAPTOPS,2010
75,Vagram,SMARTPHONES,2004
76,Cookley,SMARTPHONES,2009
77,Regrant,LAPTOPS,2010
78,Solarbreeze,LAPTOPS,2005
79,Otcom,SMARTPHONES,1999
80,Cookley,LAPTOPS,2005
81,Hatity,TABLETS,2008
82,Redhold,TABLETS,1996
83,Biodex,SMARTPHONES,2007
84,Prodder,SMARTPHONES,2006
85,Cardify,SMARTPHONES,2010
86,Aerified,SMARTPHONES,2003
87,Ronstring,PC,2013
88,Ventosanzap,PC,2010
89,Zaam-Dox,SMARTPHONES,1997
90,Bigtax,PC,2000
91,Solarbreeze,LAPTOPS,1993
92,Job,SMARTPHONES,2005
93,Cookley,LAPTOPS,1990
94,Stim,SMARTPHONES,2011
95,Tres-Zap,SMARTPHONES,2009
96,Stringtough,SMARTPHONES,2001
97,Lotlux,PC,1996
98,Viva,SMARTPHONES,2009
99,Ronstring,SMARTPHONES,1997
100,Span,SMARTPHONES,2003
